"Date","Capital.A","Capital.B","Capital.C","Capital.D","Capital.E","Cuprum.A","Cuprum.B","Cuprum.C","Cuprum.D","Cuprum.E","Habitat.A","Habitat.B","Habitat.C","Habitat.D","Habitat.E","Modelo.A","Modelo.B","Modelo.C","Modelo.D","Modelo.E","PlanVital.A","PlanVital.B","PlanVital.C","PlanVital.D","PlanVital.E","ProVida.A","ProVida.B","ProVida.C","ProVida.D","ProVida.E","system.A","system.B","system.C","system.D","system.E"
"2005-08",NA,NA,NA,NA,NA,-0.62,-0.56,-0.31,0.05,0.77,-0.84,-0.57,-0.37,0.05,0.76,NA,NA,NA,NA,NA,-0.79,-0.57,-0.31,0.04,0.72,-0.6,-0.39,-0.26,0.14,0.77,-0.67,-0.47,-0.31,0.07,0.75
"2005-09",NA,NA,NA,NA,NA,3.03,2.1,1.32,0.6,-0.38,3.26,2.22,1.16,0.51,-0.57,NA,NA,NA,NA,NA,3.15,2.23,1.28,0.65,-0.39,3.44,2.14,1.23,0.39,-0.55,3.21,2.17,1.22,0.49,-0.51
"2005-10",NA,NA,NA,NA,NA,-4.17,-3.58,-3.09,-3,-3.03,-4.16,-3.56,-3.02,-2.7,-2.78,NA,NA,NA,NA,NA,-4.34,-3.75,-3.31,-2.9,-3.17,-4.49,-3.91,-3.38,-2.92,-2.75,-4.28,-3.72,-3.21,-2.85,-2.81
"2005-11",NA,NA,NA,NA,NA,2.11,0.8,-0.14,-0.68,-0.95,2.15,1,-0.21,-0.39,-0.88,NA,NA,NA,NA,NA,2.08,0.69,-0.34,-0.66,-0.81,2.5,0.77,-0.24,-0.53,-0.79,2.23,0.84,-0.22,-0.54,-0.87
"2005-12",NA,NA,NA,NA,NA,1.64,0.91,0.61,0.51,0.96,1.34,0.93,0.6,0.66,0.75,NA,NA,NA,NA,NA,1.49,0.8,0.56,0.42,0.63,1.85,0.83,0.63,0.39,0.74,1.65,0.89,0.61,0.49,0.81
"2006-01",NA,NA,NA,NA,NA,7.06,5.29,4.02,2.84,1.81,7.03,5.55,4.35,3.13,2.03,NA,NA,NA,NA,NA,7.48,5.48,4.27,2.96,1.88,7.39,5.38,4.25,2.73,1.76,7.22,5.46,4.25,2.9,1.83
"2006-02",NA,NA,NA,NA,NA,0.75,0.75,0.61,0.6,0.49,0.73,0.78,0.65,0.66,0.42,NA,NA,NA,NA,NA,0.68,0.87,0.76,0.74,0.35,0.74,0.82,0.72,0.66,0.36,0.72,0.8,0.67,0.64,0.4
"2006-03",NA,NA,NA,NA,NA,1.27,1.14,0.98,0.65,0.27,1.44,1.18,1.02,0.66,0.12,NA,NA,NA,NA,NA,1.45,1.3,1.04,0.7,0.19,1.25,1.3,1.03,0.65,0.25,1.34,1.24,1.03,0.67,0.23
"2006-04",NA,NA,NA,NA,NA,3.19,2.18,1.37,0.78,0,3.07,2.24,1.35,0.73,0.18,NA,NA,NA,NA,NA,3.1,2.26,1.52,0.83,0.27,3.3,2.24,1.38,0.73,0.05,3.23,2.26,1.4,0.76,0.08
"2006-05",NA,NA,NA,NA,NA,-3.84,-2.96,-1.95,-1.13,-0.05,-3.96,-3.15,-2.32,-1.49,-0.35,NA,NA,NA,NA,NA,-3.9,-3.16,-2.16,-1.32,-0.33,-4.02,-3.14,-2.13,-1.22,-0.26,-3.94,-3.14,-2.17,-1.31,-0.24
"2006-06",NA,NA,NA,NA,NA,-3.48,-2.49,-1.4,-0.72,0.12,-3.66,-2.74,-1.69,-0.85,0.06,NA,NA,NA,NA,NA,-3.33,-2.6,-1.65,-0.8,0.1,-3.44,-2.53,-1.56,-0.91,-0.04,-3.52,-2.59,-1.56,-0.84,0.03
"2006-07",NA,NA,NA,NA,NA,2.52,2.02,1.51,1.19,0.99,2.42,1.93,1.61,1.24,1.04,NA,NA,NA,NA,NA,2.3,1.85,1.45,1.1,0.99,2.25,1.78,1.48,1.09,0.93,2.4,1.9,1.53,1.17,0.99
"2006-08",NA,NA,NA,NA,NA,1.72,1.44,1.08,0.76,0.62,1.54,1.3,1.1,0.86,0.7,NA,NA,NA,NA,NA,1.63,1.31,1.03,0.67,0.52,1.61,1.29,0.98,0.69,0.67,1.63,1.32,1.02,0.73,0.65
"2006-09",NA,NA,NA,NA,NA,0.98,1.03,0.93,0.75,0.54,1.06,1.04,1.03,0.9,0.52,NA,NA,NA,NA,NA,0.97,1.04,0.87,0.66,0.24,0.9,1.02,0.9,0.68,0.26,0.96,1.02,0.94,0.74,0.4
"2006-10",NA,NA,NA,NA,NA,2.87,2.58,2.11,1.57,1.34,3.17,2.82,2.43,1.98,1.24,NA,NA,NA,NA,NA,3.19,2.91,2.32,1.76,1.32,2.94,2.69,2.16,1.8,1.35,3.01,2.73,2.25,1.8,1.33
"2006-11",NA,NA,NA,NA,NA,2.8,2.51,2.3,1.61,0.95,2.88,2.56,2.31,1.8,1.06,NA,NA,NA,NA,NA,2.87,2.68,2.27,1.7,0.9,3.06,2.66,2.34,1.75,0.98,2.93,2.59,2.32,1.74,1.01
"2006-12",NA,NA,NA,NA,NA,4.61,3.89,3.02,1.86,0.5,4.94,4.2,3.33,2.07,0.69,NA,NA,NA,NA,NA,5.1,4.51,3.42,2.25,0.52,4.84,4.15,3.27,1.91,0.34,4.8,4.11,3.23,1.96,0.5
"2007-01",NA,NA,NA,NA,NA,1.66,1.7,1.4,0.9,0.15,1.89,1.85,1.64,1.23,0.18,NA,NA,NA,NA,NA,1.79,1.89,1.56,1.1,0.17,1.7,1.69,1.3,0.9,0.08,1.73,1.75,1.45,1,0.12
"2007-02",NA,NA,NA,NA,NA,2.12,1.85,1.51,0.84,0.49,2.31,1.77,1.28,0.76,0.29,NA,NA,NA,NA,NA,2.54,1.96,1.41,0.87,0.35,2.35,1.84,1.29,0.81,0.42,2.27,1.82,1.33,0.81,0.39
"2007-03",NA,NA,NA,NA,NA,-0.36,0.01,0.42,0.68,0.83,-0.29,0.08,0.52,0.68,1.05,NA,NA,NA,NA,NA,-0.51,0.02,0.45,0.73,0.87,-0.37,-0.04,0.42,0.71,0.7,-0.37,0.03,0.47,0.71,0.86
"2007-04",NA,NA,NA,NA,NA,4.51,3.62,2.86,1.69,0.41,4.45,3.92,3.25,2.32,0.67,NA,NA,NA,NA,NA,4.32,4.17,3.34,2.13,0.35,4.45,3.66,3.03,1.95,0.44,4.46,3.78,3.09,2.04,0.49
"2007-05",NA,NA,NA,NA,NA,1,0.66,0.03,-0.47,-1.4,0.82,0.65,-0.04,-0.54,-1.24,NA,NA,NA,NA,NA,0.76,0.72,0.01,-0.54,-1.45,0.85,0.49,-0.23,-0.65,-1.5,0.92,0.62,-0.1,-0.57,-1.36
"2007-06",NA,NA,NA,NA,NA,2.31,1.6,1.27,0.59,-0.51,2.53,2.08,1.67,1.03,-0.45,NA,NA,NA,NA,NA,2.21,2.17,1.72,1.17,-0.21,2.47,2.06,1.57,0.91,-0.38,2.44,1.96,1.55,0.89,-0.41
"2007-07",NA,NA,NA,NA,NA,-0.69,-0.66,-0.51,-0.16,0.72,-0.67,-0.81,-0.81,-0.56,0.7,NA,NA,NA,NA,NA,-0.66,-0.9,-0.87,-0.56,0.6,-0.39,-0.8,-0.68,-0.26,0.77,-0.56,-0.74,-0.68,-0.35,0.76
"2007-08",NA,NA,NA,NA,NA,-2.41,-1.96,-1.39,-0.6,0.62,-2.47,-2.07,-1.5,-0.65,0.55,NA,NA,NA,NA,NA,-2.63,-2.37,-1.59,-0.73,0.42,-2.38,-2.14,-1.47,-0.62,0.48,-2.52,-2.11,-1.48,-0.65,0.53
